# nationality: 188 rows -- regenerate with `make baseline`
adapt:11195	Corinth, Peloponnesian city	->	Corinth, city
adapt:11439	Thracian prince	->	prince
adapt:11889	ancient Campanian colony	->	ancient colony
adapt:12011	ancient Cretan people worshipping Jupiter with music and dance	->	ancient people worshipping Jupiter with music and dance
adapt:12022	Albanian gens	->	gens
adapt:12153	ancient Campanian colony	->	ancient colony
adapt:12260	Scythian tribe beyond Caspian Sea	->	tribe beyond Sea
adapt:14079	Bacchus, Greek god	->	Bacchus, god
adapt:1512	African people of Africa	->	people of Africa
adapt:1679	German tribes	->	tribes
adapt:18933	Etruscan name for Venus	->	name for Venus
adapt:19333	Gallic tribe in Mont Cenis valleys	->	tribe in Mont Cenis valleys
adapt:19577	Thracian tribe on the Danube	->	tribe on the Danube
adapt:19578	Thracian tribe on the Danube	->	tribe on the Danube
adapt:20555	Stoic philosopher of Carthage	->	philosopher of Carthage
adapt:20880	Homer, Greek poet	->	Homer, poet
adapt:20883	Homer, Greek poet	->	Homer, poet
adapt:21291	of Iapyx, Apulian, Calabrian	->	of Iapyx
adapt:24878	Jewish historian	->	historian
adapt:2516	Gallic tribe in present Anjou	->	tribe in present Anjou
adapt:25229	Sarmatian people on the Danube	->	people on the Danube
adapt:2657	Punic surname Hannibal	->	surname Hannibal
adapt:27396	Germanic people on the Weser	->	people on the Weser
adapt:27425	Athenian orator	->	orator
adapt:27455	Macedonian people	->	people
adapt:27605	magician, learned Persian magician	->	magician, learned magician
adapt:27809	Oscan name for Mars	->	name for Mars
adapt:28013	ancient Phoenician city opposite Arados island	->	ancient city opposite Arados island
adapt:28358	Medi, Assyrian, Persian, Parthian	->	Medi
adapt:28903	Messina, Sicilian city	->	Messina, city
adapt:29008	Italian proper name	->	proper name
adapt:29339	Persian precious stone	->	precious stone
adapt:30378	Germanic people of the Lygians	->	people of the Lygians
adapt:30446	Libyan people south‑west of Cyrenaica	->	people south‑west of Cyrenaica
adapt:3338	acre (Gallic)	->	acre
adapt:33819	high mountain beyond Caspian Sea	->	high mountain beyond Sea
adapt:34498	Greek mythological king of Phrygia	->	mythological king of Phrygia
adapt:34674	Athenian courtesan	->	courtesan
adapt:34900	Athenian courtesan	->	courtesan
adapt:35951	ancient Greek poet	->	ancient poet
adapt:36193	Parthian kings	->	kings
adapt:3629	Persian province between Hyrcania and Gedrosia	->	province between Hyrcania and Gedrosia
adapt:38583	Grecian sophist of Ceos	->	sophist of Ceos
adapt:42472	Celtic or Ligurian tribe in Gallia	->	or Ligurian tribe in Gallia
adapt:42509	ancient Italian country near	->	ancient country near
